YAL001C
YAL003W
YAL030W
YBL018C
YBL026W
YBL027W
YBL040C
YBL050W
YBL059W
YBL087C
YBR048W
YBR062C
YBR078W
YBR082C
YBR090C
YBR119W
YBR181C
YBR186W
YBR189W
YBR191W
YBR215W
YBR219C
YBR230C
YCL002C
YCR031C
YCR097W
YEL003W
YEL012W
YER003C
YER074W
YER117W
YER133W
YER179W
YHL001W
YHL050C
YHR010W
YHR012W
YHR016C
YHR021C
YHR041C
YHR076W
YHR077C
YHR097C
YHR101C
YHR123W
YHR141C
YHR203C
YHR218W
YIL004C
YIL018W
YIL052C
YIL069C
YIL073C
YIL106W
YIL111W
YIL133C
YIL148W
YIL177C
YKL002W
YKL006W
YKL081W
YKL156W
YKL157W
YKL180W
YKL190W
YKR004C
YKR005C
YKR057W
YKR094C
YFL039C
YFL034C-B
YFL031W
YFR045W
YER044C-A
YHR079C-A
YHR039C-A
YKL006C-A
YFR031C-A
YER056C-A
YBL111C
YBR084C-A
YDL012C
YDL029W
YDL064W
YDL075W
YDL079C
YDL082W
YDL083C
YDL108W
YDL115C
YDL125C
YDL130W
YDL136W
YDL191W
YDL219W
YDR005C
YDR025W
YDR059C
YDR064W
YDR092W
YDR129C
YDR139C
YDR305C
YDR318W
YDR367W
YDR381W
YDR397C
YDR424C
YDR447C
YDR450W
YDR471W
YDR500C
YDR535C
YEL076C-A
YER007C-A
YER093C-A
YFR024C-A
YGL030W
YGL033W
YGL076C
YGL087C
YGL103W
YGL137W
YGL178W
YGL183C
YGL226C-A
YGL232W
YGL251C
YGR001C
YGR029W
YGR034W
YGR118W
YGR183C
YGR214W
YGR225W
YGR296W
YHR001W-A
YJL001W
YJL024C
YJL031C
YJL041W
YJL136C
YJL177W
YJL189W
YJL191W
YJL205C
YJL225C
YJR021C
YJR079W
YJR094W-A
YJR145C
YLL050C
YLL066C
YLL067C
YLR048W
YLR054C
YLR061W
YLR078C
YLR093C
YLR128W
YLR185W
YLR199C
YLR202C
YLR211C
YLR275W
YLR287C-A
YLR306W
YLR316C
YLR329W
YLR344W
YLR367W
YLR406C
YLR426W
YLR445W
YLR448W
YLR464W
YML017W
YML024W
YML025C
YML026C
YML034W
YML036W
YML056C
YML067C
YML073C
YML085C
YML094W
YML124C
YML133C
YMR033W
YMR079W
YMR116C
YMR125W
YMR133W
YMR142C
YMR143W
YMR194W
YMR201C
YMR225C
YMR230W
YMR242C
YMR292W
YNL004W
YNL012W
YNL038W
YNL044W
YNL050C
YNL069C
YNL096C
YNL112W
YNL130C
YNL147W
YNL162W
YNL246W
YNL265C
YNL301C
YNL302C
YNL312W
YNL339C
YNR053C
YOL047C
YOL048C
YOL120C
YOL121C
YOL127W
YOR096W
YOR122C
YOR182C
YOR234C
YOR293W
YOR312C
YOR318C
YPL031C
YPL075W
YPL079W
YPL081W
YPL090C
YPL109C
YPL129W
YPL143W
YPL175W
YPL198W
YPL218W
YPL241C
YPL283C
YPR028W
YPR043W
YPR063C
YPR098C
YPR132W
YPR153W
YPR187W
YPR202W
YFL034C-A
YPL249C-A
YCR028C-A
YBL091C-A
Q0045
Q0055
Q0060
Q0065
Q0070
Q0075
Q0105
Q0110
Q0115
Q0120
Q0255
YBL059C-A
YER014C-A
YBR255C-A
YDR381C-A
YER074W-A
YCL005W-A
YNL138W-A
YBR111W-A
YIL156W-B
YKR095W-A
YJR112W-A
YMR194C-B
YPR170W-B
YHR199C-A
YCL012C
YPR010C-A
